ID;Periods;ConsumerConfidence_1;EconomicClimate_2;WillingnessToBuy_3;EconomicSituationLast12Months_4;EconomicSituationNext12Months_5;FinancialSituationLast12Months_6;FinancialSituationNext12Months_7;RightTimeToMakeLargePurchases_8
392;2018-12;9;17;3;27;7;-5;2;12
393;2019-01;1;3;-1;16;-10;-5;-2;6
394;2019-02;-2;0;-3;14;-14;-7;-2;1
395;2019-03;-3;-3;-4;9;-15;-9;-2;0
396;2019-04;-3;-3;-3;7;-13;-9;-2;1
397;2019-05;-3;-2;-4;7;-11;-11;-2;2
398;2019-06;-1;2;-2;11;-7;-10;0;3
399;2019-07;1;6;-1;13;-1;-9;0;4
400;2019-08;-1;-1;-1;8;-10;-7;-1;6
401;2019-09;-2;-3;-1;9;-15;-8;0;5
402;2019-10;-1;-4;1;6;-15;-7;2;7
403;2019-11;-2;-6;1;5;-16;-6;3;6
404;2019-12;-2;-8;2;2;-18;-4;4;5
405;2020-01;-2;-7;1;3;-17;-6;3;5
406;2020-02;-2;-5;1;5;-15;-5;4;4
407;2020-03;-3;-10;2;10;-29;0;5;1
408;2020-04;-23;-31;-17;6;-69;4;-16;-38
409;2020-05;-31;-52;-17;-38;-66;5;-17;-39
410;2020-06;-27;-52;-11;-56;-47;6;-10;-29
411;2020-07;-26;-51;-10;-67;-35;-2;-6;-22
412;2020-08;-29;-58;-10;-73;-44;-3;-2;-23
413;2020-09;-28;-58;-9;-75;-40;-5;0;-22
414;2020-10;-30;-61;-9;-76;-46;-7;1;-22
415;2020-11;-26;-53;-7;-71;-35;-7;3;-18
416;2020-12;-19;-40;-6;-70;-9;-7;5;-16
417;2021-01;-19;-39;-6;-71;-8;-6;6;-18
418;2021-02;-19;-41;-5;-72;-9;-6;8;-17
419;2021-03;-18;-39;-4;-77;-1;-6;8;-15
420;2021-04;-14;-31;-2;-71;8;-3;9;-11
421;2021-05;-9;-24;1;-62;14;0;10;-6
422;2021-06;-3;-11;3;-54;31;2;12;-4
423;2021-07;-4;-10;0;-45;25;0;10;-9
424;2021-08;-6;-11;-2;-38;15;-2;8;-12
425;2021-09;-5;-8;-3;-30;14;-4;8;-12
426;2021-10;-10;-14;-7;-31;2;-7;3;-15
427;2021-11;-19;-28;-14;-38;-17;-14;-3;-24
428;2021-12;-25;-38;-17;-50;-27;-16;-6;-28
429;2022-01;-28;-43;-18;-55;-31;-17;-7;-28
430;2022-02;-30;-46;-20;-61;-31;-21;-8;-30
431;2022-03;-39;-58;-26;-60;-57;-23;-18;-36
432;2022-04;-48;-69;-34;-73;-65;-33;-24;-44
433;2022-05;-47;-68;-33;-78;-58;-33;-16;-50
434;2022-06;-50;-69;-37;-77;-62;-37;-20;-53
435;2022-07;-51;-71;-38;-81;-61;-37;-21;-56
436;2022-08;-54;-74;-41;-86;-63;-41;-24;-56
437;2022-09;-59;-79;-46;-91;-68;-48;-30;-61
438;2022-10;-59;-75;-48;-89;-62;-50;-31;-62
